"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\Chinput.h", "C++", 30, 0, 4, 5, 39
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\IMAGE.h", "C++", 12, 0, 1, 5, 18
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\User.h", "C", 0, 9, 1, 3, 13
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\all.h", "C++", 14, 0, 0, 4, 18
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\box.h", "C", 0, 21, 0, 4, 25
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\button.h", "C", 0, 16, 0, 4, 20
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\chat.h", "C++", 24, 0, 3, 6, 33
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\chatcore.h", "C++", 20, 0, 0, 6, 26
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\hz.h", "C", 0, 4, 0, 2, 6
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\input.h", "C", 0, 61, 13, 10, 84
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\login.h", "C", 0, 14, 0, 4, 18
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\logindat.h", "C++", 11, 0, 0, 4, 15
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\main.h", "C", 0, 15, 1, 3, 19
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\mouse.h", "C", 0, 17, 2, 3, 22
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\output.h", "C", 0, 37, 7, 8, 52
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\picture.h", "C", 0, 27, 3, 5, 35
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\register.h", "C", 0, 12, 0, 3, 15
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\save.h", "C++", 11, 0, 0, 4, 15
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\storyGen.h", "C", 0, 26, 2, 5, 33
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\storyIn.h", "C++", 41, 0, 8, 9, 58
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\turn.h", "C", 0, 20, 0, 5, 25
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\util_c.h", "C++", 72, 0, 9, 9, 90
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\welcome.h", "C", 0, 12, 0, 4, 16
"Total", "-", 235, 291, 54, 115, 695
